Difficulty,Elapsed Time (s),Operations
3,0.0149,3125
3,0.0177,5997
3,0.0044,1761
3,0.0025,977
3,0.0462,9838
4,0.4335,228866
4,0.3539,122583
4,0.0046,2300
4,0.0573,28521
4,0.1119,55649
5,0.6466,340013
5,1.9482,992952
5,2.8917,1439009
5,3.3679,1777750
5,3.4895,1812000
6,9.4038,4964856
6,31.4371,16602845
6,19.5869,10119623
6,45.583,23503033
6,5.266,2584492
4,0.4619,228866
4,0.2371,122583
4,0.0044,2300
4,0.0541,28521
4,0.1072,55649
5,0.6477,340013
5,1.8681,992952
5,2.848,1439009
5,3.5955,1777750
5,3.532,1812000
6,9.7265,4964856
6,32.7456,16602845
6,19.9468,10119623
6,45.6871,23503033
6,5.1548,2584492
7,595.9249,292996996
7,1339.7132,651695073
