difficult,time,Operations
1,0.2339,89102
1,0.2063,79759
1,0.0065,2518
1,0.0478,18762
1,0.1091,41982
1,0.1897,39237
1,0.0096,3730
1,0.1804,68866
1,0.493,193636
1,0.0523,20216
1,0.092,34916
1,0.0709,27575
1,0.3566,137841
1,0.2267,88117
1,0.455,176345
1,0.1381,54459
1,0.4019,158251
1,0.18,69889
1,0.1422,55448
1,0.0485,19131
1,0.4595,181254
1,0.3232,126986
1,0.08,31473
1,0.1721,67896
1,0.1644,63419
1,0.0099,3855
1,0.2461,95503
1,0.018,7130
1,0.2778,107329
1,0.0523,20244
1,0.1176,45688
1,0.1747,66735
1,0.3297,128385
1,0.0468,18066
1,0.0307,11878
1,0.8308,319574
1,0.6879,266011
1,0.0903,36024
1,0.1541,58612
1,0.0856,33684
1,1.1441,441614
1,0.4677,178083
1,0.0668,25707
1,0.2814,107402
1,0.276,106641
1,0.0085,3305
1,0.1552,57841
1,0.4311,167075
1,0.3877,135266
1,0.4358,136509
2,3.002,1094962
2,1.754,661808
2,0.2286,88332
2,0.59,225521
2,0.0845,32140
2,1.5477,597306
2,4.9923,1923177
2,1.3199,508444
2,2.7072,1058795
2,1.9187,749885
2,4.0659,1542442
2,4.2022,1617974
2,13.7571,5220809
2,0.5292,201833
2,2.3812,913581
2,2.5278,977670
2,12.8842,5000427
2,0.1402,54256
2,0.0757,29377
2,9.71,3675529
2,1.4569,539279
2,2.818,1068152
2,0.1149,45185
2,5.2375,1906860
2,0.8401,324912
2,4.4182,1709839
2,0.4959,192601
2,3.9988,1452341
2,0.3323,124193
2,4.1936,1533017
2,3.0331,1129362
2,12.9669,4785197
2,1.0618,404900
2,1.5767,612390
2,5.7574,2203398
2,0.048,18018
2,4.133,1549206
2,1.3355,510057
2,0.0838,32362
2,2.8692,1038870
2,7.2012,2774562
2,0.1658,64894
2,0.1516,58208
2,1.5206,581672
2,1.4478,568785
2,7.3218,2774547
2,0.1808,70507
2,0.3707,143224
2,2.05,791364
2,10.0555,3825020
3,0.0714,27425
3,9.0563,3479706
3,1.3393,515960
3,0.6449,253369
3,4.5858,1756294
3,26.1396,10000000
3,10.9064,4233433
3,3.4564,1325663
3,26.2687,10000000
3,3.8097,1456354
3,16.0709,6027860
3,9.1429,3496340
3,5.4871,2130227
3,10.886,4132941
3,26.023,10000000
3,22.3184,8183422
3,10.9348,4145656
3,5.327,1967580
3,17.5442,6851746
3,1.0931,394694
3,4.7509,1851079
3,20.9194,7911454
3,4.5117,1708333
3,4.1661,1586813
3,6.5935,2506873
3,6.8813,2621936
3,2.3109,876096
3,1.6176,616798
3,0.4776,178644
3,11.7625,4483496
3,0.454,174616
3,8.7223,3300729
3,14.0688,5325078
3,3.266,1222939
3,6.2547,2393380
3,0.041,15560
3,1.4408,542046
3,0.4809,183523
3,3.1161,1182832
3,18.9795,6935174
3,1.5112,571285
3,3.4944,1348667
3,4.3389,1683961
3,4.5931,1765848
3,1.0767,350937
3,16.5807,6114855
3,0.344,132535
3,7.3152,2546788
3,7.3334,2740377
3,0.3212,125298
3,0.3415,128941
3,0.1703,64896
3,4.7097,1803933
3,0.0519,20243
3,1.2827,470563
3,2.1988,866763
3,2.879,1101213
3,5.2593,2017214
3,11.7959,4633537
3,7.3192,2813245
3,2.7937,1076787
3,2.8154,1082053
3,0.8551,330260
3,1.3575,529105
3,4.6214,1766621
3,0.7009,273445
3,14.5788,5365896
3,0.5124,198198
